locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
BW25113_0001	thrL	0	190	255	1	51	0.0833333333333333	66	5	"thr operon leader peptide"
BW25113_0002	thrA	0	337	2799	1	1086	0.0442038791159224	2463	98	"Bifunctional aspartokinase/homoserine dehydrogenase 1"
BW25113_0003	thrB	0	2801	3733	1	457	0.0440476190476191	933	37	"homoserine kinase"
BW25113_0004	thrC	0	3734	5020	1	558	0.0457290767903365	1287	53	"L-threonine synthase"
BW25113_0005	yaaX	0	5234	5530	1	101	0.041044776119403	297	11	"DUF2502 family putative periplasmic protein"
BW25113_0006	yaaA	0	5683	6459	-1	402	0.0528571428571429	777	37	"peroxide resistance protein, lowers intracellular iron"
BW25113_0007	yaaJ	0	6529	7959	-1	624	0.0458074534161491	1431	59	"putative transporter"
BW25113_0008	talB	0	8238	9191	1	706	0.0651920838183935	954	56	"transaldolase B"
BW25113_0009	mog	0	9306	9893	1	390	0.0716981132075472	588	38	"molybdochelatase incorporating molybdenum into molybdopterin"
BW25113_0010	satP	0	9928	10494	-1	289	0.0489236790606654	567	25	"succinate-acetate transporter"
BW25113_0011	yaaW	0	10643	11356	-1	245	0.0404354587869362	714	26	"UPF0174 family protein"
BW25113_0013	yaaI	0	11382	11786	-1	202	0.0684931506849315	405	25	"UPF0412 family protein"
BW25113_0014	dnaK	0	12163	14079	1	23	0.00115874855156431	1917	2	"chaperone Hsp70, with co-chaperone DnaJ"
BW25113_0015	dnaJ	0	14168	15298	1	322	0.0343811394891945	1131	35	"chaperone Hsp40, DnaK co-chaperone"
BW25113_0016	insL1	0	15445	16557	1	0	0	1113	0	"IS186 transposase"
BW25113_0018	mokC	0	16751	16960	-1	374	0.126984126984127	210	24	"regulatory protein for HokC, overlaps CDS of hokC"
BW25113_4412	hokC	0	16751	16903	-1	90	0.0652173913043478	153	9	"toxic membrane protein, small"
BW25113_4413	sokC	0	16952	17006	1	115	0.14	55	7	
BW25113_0019	nhaA	0	17489	18655	1	233	0.0247383444338725	1167	26	"sodium-proton antiporter"
BW25113_0020	nhaR	0	18715	19620	1	447	0.0563725490196078	906	46	"transcriptional activator of nhaA"
BW25113_0021	insB1	0	19811	20314	-1	0	0	504	0	"IS1 transposase B"
BW25113_0022	insA	0	20233	20508	-1	0	0	276	0	"IS1 repressor TnpA"
BW25113_0023	rpsT	0	20815	21078	-1	0	0	264	0	"30S ribosomal subunit protein S20"
BW25113_0024	yaaY	0	21181	21399	1	62	0.0252525252525253	219	5	"uncharacterized protein"
BW25113_0025	ribF	0	21407	22348	1	11	0.00235849056603774	942	2	"bifunctional riboflavin kinase/FAD synthetase"
BW25113_0026	ileS	0	22391	25207	1	0	0	2817	0	"isoleucyl-tRNA synthetase"
BW25113_0027	lspA	0	25207	25701	1	0	0	495	0	"prolipoprotein signal peptidase (signal peptidase II)"
BW25113_0028	fkpB	0	25826	26275	1	147	0.0320987654320988	450	13	"FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
BW25113_0029	ispH	0	26277	27227	1	10	0.00116822429906542	951	1	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"
BW25113_0030	rihC	0	27293	28207	1	258	0.0351941747572816	915	29	"ribonucleoside hydrolase 3"
BW25113_0031	dapB	0	28374	29195	1	8	0.00135135135135135	822	1	"dihydrodipicolinate reductase"
BW25113_0032	carA	0	29651	30799	1	235	0.0251207729468599	1149	26	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
BW25113_0033	carB	0	30817	34038	1	746	0.0279310344827586	3222	81	"carbamoyl-phosphate synthase large subunit"
BW25113_0034	caiF	0	34300	34695	1	456	0.117647058823529	396	42	"cai operon transcriptional activator"
BW25113_0035	caiE	0	34781	35371	-1	191	0.0413533834586466	591	22	"stimulator of CaiD and CaiB enzyme activities"
BW25113_0036	caiD	0	35377	36162	-1	418	0.0550847457627119	786	39	"carnitinyl-CoA dehydratase"
BW25113_0037	caiC	0	36271	37824	-1	813	0.043602573266619	1554	61	"putative crotonobetaine/carnitine-CoA ligase"
BW25113_0038	caiB	0	37898	39115	-1	485	0.0464904284412033	1218	51	"crotonobetainyl CoA:carnitine CoA transferase"
