locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
BW25113_0001	thrL	0	190	255	1	121	0.15	66	9	"thr operon leader peptide"
BW25113_0002	thrA	0	337	2799	1	1824	0.10509697789806	2463	233	"Bifunctional aspartokinase/homoserine dehydrogenase 1"
BW25113_0003	thrB	0	2801	3733	1	654	0.1	933	84	"homoserine kinase"
BW25113_0004	thrC	0	3734	5020	1	875	0.094909404659189	1287	110	"L-threonine synthase"
BW25113_0005	yaaX	0	5234	5530	1	176	0.104477611940299	297	28	"DUF2502 family putative periplasmic protein"
BW25113_0006	yaaA	0	5683	6459	-1	725	0.0985714285714286	777	69	"peroxide resistance protein, lowers intracellular iron"
BW25113_0007	yaaJ	0	6529	7959	-1	1126	0.0916149068322981	1431	118	"putative transporter"
BW25113_0008	talB	0	8238	9191	1	1343	0.145518044237485	954	125	"transaldolase B"
BW25113_0009	mog	0	9306	9893	1	587	0.145283018867925	588	77	"molybdochelatase incorporating molybdenum into molybdopterin"
BW25113_0010	satP	0	9928	10494	-1	529	0.0978473581213307	567	50	"succinate-acetate transporter"
BW25113_0011	yaaW	0	10643	11356	-1	436	0.0824261275272162	714	53	"UPF0174 family protein"
BW25113_0013	yaaI	0	11382	11786	-1	570	0.126027397260274	405	46	"UPF0412 family protein"
BW25113_0014	dnaK	0	12163	14079	1	78	0.00173812282734647	1917	3	"chaperone Hsp70, with co-chaperone DnaJ"
BW25113_0015	dnaJ	0	14168	15298	1	903	0.106090373280943	1131	108	"chaperone Hsp40, DnaK co-chaperone"
BW25113_0016	insL1	0	15445	16557	1	0	0	1113	0	"IS186 transposase"
BW25113_0018	mokC	0	16751	16960	-1	855	0.195767195767196	210	37	"regulatory protein for HokC, overlaps CDS of hokC"
BW25113_4412	hokC	0	16751	16903	-1	316	0.144927536231884	153	20	"toxic membrane protein, small"
BW25113_4413	sokC	0	16952	17006	1	324	0.22	55	11	
BW25113_0019	nhaA	0	17489	18655	1	585	0.071360608943863	1167	75	"sodium-proton antiporter"
BW25113_0020	nhaR	0	18715	19620	1	999	0.126225490196078	906	103	"transcriptional activator of nhaA"
BW25113_0021	insB1	0	19811	20314	-1	0	0	504	0	"IS1 transposase B"
BW25113_0022	insA	0	20233	20508	-1	0	0	276	0	"IS1 repressor TnpA"
BW25113_0023	rpsT	0	20815	21078	-1	0	0	264	0	"30S ribosomal subunit protein S20"
BW25113_0024	yaaY	0	21181	21399	1	171	0.0757575757575758	219	15	"uncharacterized protein"
BW25113_0025	ribF	0	21407	22348	1	11	0.00235849056603774	942	2	"bifunctional riboflavin kinase/FAD synthetase"
BW25113_0026	ileS	0	22391	25207	1	0	0	2817	0	"isoleucyl-tRNA synthetase"
BW25113_0027	lspA	0	25207	25701	1	0	0	495	0	"prolipoprotein signal peptidase (signal peptidase II)"
BW25113_0028	fkpB	0	25826	26275	1	252	0.0691358024691358	450	28	"FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
BW25113_0029	ispH	0	26277	27227	1	4	0.00116822429906542	951	1	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"
BW25113_0030	rihC	0	27293	28207	1	632	0.0825242718446602	915	68	"ribonucleoside hydrolase 3"
BW25113_0031	dapB	0	28374	29195	1	3	0.00135135135135135	822	1	"dihydrodipicolinate reductase"
BW25113_0032	carA	0	29651	30799	1	484	0.0657004830917874	1149	68	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
BW25113_0033	carB	0	30817	34038	1	1041	0.0641379310344828	3222	186	"carbamoyl-phosphate synthase large subunit"
BW25113_0034	caiF	0	34300	34695	1	700	0.198879551820728	396	71	"cai operon transcriptional activator"
BW25113_0035	caiE	0	34781	35371	-1	391	0.0958646616541353	591	51	"stimulator of CaiD and CaiB enzyme activities"
BW25113_0036	caiD	0	35377	36162	-1	532	0.0946327683615819	786	67	"carnitinyl-CoA dehydratase"
BW25113_0037	caiC	0	36271	37824	-1	1228	0.08506075768406	1554	119	"putative crotonobetaine/carnitine-CoA ligase"
BW25113_0038	caiB	0	37898	39115	-1	937	0.0911577028258888	1218	100	"crotonobetainyl CoA:carnitine CoA transferase"
BW25113_0039	caiA	0	39244	40386	-1	757	0.0884353741496599	1143	91	"crotonobetaine reductase subunit II, FAD-binding"
BW25113_0040	caiT	0	40417	41931	-1	2203	0.145161290322581	1515	198	"putative transporter"
BW25113_0041	fixA	0	42403	43173	1	803	0.123919308357349	771	86	"anaerobic carnitine reduction putative electron transfer flavoprotein subunit"
BW25113_0042	fixB	0	43188	44129	1	533	0.0719339622641509	942	61	"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"
BW25113_0043	fixC	0	44180	45466	1	486	0.0534943917169974	1287	62	"putative oxidoreductase"
BW25113_0044	fixX	0	45463	45750	1	202	0.0730769230769231	288	19	"putative 4Fe-4S ferredoxin-type protein"
BW25113_0045	yaaU	0	45807	47138	1	898	0.0758965804837364	1332	91	"putative transporter"
BW25113_0046	kefF	0	47246	47776	1	554	0.096234309623431	531	46	"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent"
BW25113_0047	kefC	0	47769	49631	1	1097	0.0667859272510435	1863	112	"potassium:proton antiporter"
BW25113_0048	folA	0	49823	50302	1	0	0	480	0	"dihydrofolate reductase"
BW25113_0049	apaH	0	50380	51222	-1	238	0.0579710144927536	843	44	"diadenosine tetraphosphatase"
BW25113_0050	apaG	0	51229	51606	-1	321	0.0821114369501466	378	28	"protein associated with Co2+ and Mg2+ efflux"
BW25113_0051	rsmA	0	51609	52430	-1	445	0.072972972972973	822	54	"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent"
BW25113_0052	pdxA	0	52427	53416	-1	18	0.00112233445566779	990	1	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"
BW25113_0053	surA	0	53416	54702	-1	82	0.0224331320103538	1287	26	"peptidyl-prolyl cis-trans isomerase (PPIase)"
BW25113_0054	lptD	0	54755	57109	-1	9	0.000471698113207547	2355	1	"LPS assembly OM complex LptDE, beta-barrel component"
BW25113_0055	djlA	0	57364	58179	1	1122	0.133333333333333	816	98	"membrane-anchored DnaK co-chaperone, DNA-binding protein"
BW25113_4659	yabP	0	58474	59279	1	12161	0.267217630853994	806	194	pseudogene
BW25113_0058	rluA	0	59687	60346	-1	665	0.114478114478114	660	68	"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent"
